Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
camiseta-canelada-zara,Camiseta Canelada Zara,"<p>Camiseta canelada masculina com textura premium, toque macio e caimento limpo para usar sozinha ou em camadas.</p><p>A base premium que resolve o visual sem excesso. Textura aparente, leitura sofisticada e pre?o de oportunidade.</p><ul><li>Camiseta masculina canelada</li><li>Malha texturizada</li><li>Gola careca</li><li>Caimento regular</li><li>Produto da linha Caneladas GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing > Shirts & Tops,Camiseta Canelada,"camiseta canelada,canelada masculina,zara,camiseta basica premium,moda masculina,streetwear premium,gm clothing",TRUE,Cor,Preto,Tamanho,P,GMC-CANELADA-PR-P,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/5c98d3eb-d2d3-4794-9fca-51da08d9ad18.png,1,Camiseta Canelada Zara preta frente,FALSE,Camiseta Canelada Zara | GM Clothing,"Camiseta canelada masculina premium da GM Clothing por R$99,90.",ativo
camiseta-canelada-zara,,,,,,,,Cor,Preto,Tamanho,M,GMC-CANELADA-PR-M,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/c05a63f7-8a36-4543-bace-1d4f25abf44b.png,2,Camiseta Canelada Zara preta em look sentado,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Preto,Tamanho,G,GMC-CANELADA-PR-G,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/c1dacd78-4e8d-4737-9556-9a19835d63e3.png,3,Camiseta Canelada Zara preta costas,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Preto,Tamanho,GG,GMC-CANELADA-PR-GG,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/2f2de6e3-3cd1-4375-81a9-f42ff40865a0.png,4,Detalhe da Camiseta Canelada Zara preta,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Off-white,Tamanho,P,GMC-CANELADA-OF-P,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/2e6f50f1-28e0-4111-9435-40f041f9a2ce.png,5,Camiseta Canelada Zara off-white frente,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Off-white,Tamanho,M,GMC-CANELADA-OF-M,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/3895731e-656e-4cbf-8e2e-7ba4bd692c7e.png,6,Camiseta Canelada Zara off-white em look masculino,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Off-white,Tamanho,G,GMC-CANELADA-OF-G,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/883c35c8-cdf9-4eec-ac8f-f01f3d4c9f0a.png,7,Camiseta Canelada Zara off-white em look sentado,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Off-white,Tamanho,GG,GMC-CANELADA-OF-GG,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/834bac81-6dc3-4edf-8bb6-443bed385f4f.png,8,Camiseta Canelada Zara off-white costas,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Marrom,Tamanho,P,GMC-CANELADA-MR-P,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/6b95038d-95b2-4f38-b866-89cf031481c2.png,9,Camiseta Canelada Zara marrom frente,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Marrom,Tamanho,M,GMC-CANELADA-MR-M,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/92765913-e4af-430c-84aa-c6dfcbd68abf.png,10,Camiseta Canelada Zara marrom em look sentado,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Marrom,Tamanho,G,GMC-CANELADA-MR-G,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/61e974bc-6fd1-4706-b257-90faf2b7b00f.png,11,Camiseta Canelada Zara marrom costas,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Marrom,Tamanho,GG,GMC-CANELADA-MR-GG,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/6569d159-21b5-4bc7-b08e-56452fc7430a.png,12,Detalhe da Camiseta Canelada Zara marrom,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Areia,Tamanho,P,GMC-CANELADA-AR-P,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/8e381d6c-315d-4006-b0b2-c48f350d7ccc.png,13,Camiseta Canelada Zara areia frente,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Areia,Tamanho,M,GMC-CANELADA-AR-M,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/66563853-ae01-463f-b264-dbd5e88a6021.png,14,Camiseta Canelada Zara areia em look sentado,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Areia,Tamanho,G,GMC-CANELADA-AR-G,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/780f173b-06fa-43b7-b6f2-15b052871424.png,15,Camiseta Canelada Zara areia costas,FALSE,,,ativo
camiseta-canelada-zara,,,,,,,,Cor,Areia,Tamanho,GG,GMC-CANELADA-AR-GG,250,shopify,10,deny,manual,99.90,199.90,TRUE,TRUE,https://gmclo.shop/products/camisetas%20caneladas/c46e1e64-0ea5-4452-976f-41a248cf7dcc.png,16,Detalhe da Camiseta Canelada Zara areia,FALSE,,,ativo
