Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,"<p>Camisa Brasil manga longa com visual esportivo, cor marcante e presenca pronta para jogos, roles e composicoes streetwear.</p><ul><li>Camisa de futebol manga longa</li><li>Caimento esportivo</li><li>Tecido leve</li><li>Detalhes em verde</li><li>Produto da linha Copa do Mundo GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing,Football Jersey,"copa do mundo,copa 2026,futebol,brasil,gm clothing,moda masculina,streetwear esportivo",TRUE,Cor,Amarelo,Tamanho,P,GMC-COPA-BRML-AMARELO-P,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/43761f53-6458-43d7-9c8e-1343aa420662.png,1,Camisa Brasil manga longa em look masculino,FALSE,active
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Amarelo,Tamanho,M,GMC-COPA-BRML-AMARELO-M,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/a56c17b9-93cb-44a6-bd7e-fb18b4a39af7.png,2,Camisa Brasil manga longa frente,FALSE,active
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Amarelo,Tamanho,G,GMC-COPA-BRML-AMARELO-G,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/cc444dda-21c6-47dd-963d-21cb7a45e6ed.png,3,Camisa Brasil manga longa costas,FALSE,active
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Amarelo,Tamanho,GG,GMC-COPA-BRML-AMARELO-GG,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/228823da-c1ce-4673-ad1d-b0df537bb869.png,4,Detalhe frontal da Camisa Brasil manga longa,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,"<p>Camisa Espanha versao jogador com visual vermelho intenso, acabamento esportivo e leitura premium para a temporada da Copa.</p><ul><li>Versao jogador</li><li>Caimento esportivo</li><li>Tecido leve</li><li>Visual Espanha</li><li>Produto da linha Copa do Mundo GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing,Football Jersey,"copa do mundo,copa 2026,futebol,espanha,gm clothing,moda masculina,streetwear esportivo",TRUE,Cor,Vermelho,Tamanho,P,GMC-COPA-ESPJ-VERMELHO-P,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/9fdab3b8-4187-4f7b-bcf3-d71e54291f91.png,1,Camisa Espanha versao jogador frente,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Vermelho,Tamanho,M,GMC-COPA-ESPJ-VERMELHO-M,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/dc170bdf-3f9a-4977-abd9-865a8e8e05c6.png,2,Camisa Espanha versao jogador em look masculino,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Vermelho,Tamanho,G,GMC-COPA-ESPJ-VERMELHO-G,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/cdb2da6d-3507-4407-a4d4-3d2bf7017c94.png,3,Camisa Espanha versao jogador costas,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Vermelho,Tamanho,GG,GMC-COPA-ESPJ-VERMELHO-GG,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,https://gmclo.shop/products/copa/05e72f52-3962-4716-b61f-4fcc80691a6f.png,4,Detalhe frontal da Camisa Espanha versao jogador,FALSE,active
camisa-brasil-retro-azul-ronaldo,Camisa Brasil Retro Azul Ronaldo 9,"<p>Camisa Brasil retro azul Ronaldo 9 com visual classico, contraste branco e presenca de colecao para quem vive futebol.</p><ul><li>Linha Brasil Retro</li><li>Visual azul classico</li><li>Numero 9 nas costas</li><li>Caimento esportivo</li><li>Produto da linha Copa do Mundo GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing,Football Jersey,"copa do mundo,copa 2026,futebol,brasil,ronaldo 9,gm clothing,moda masculina,streetwear esportivo",TRUE,Cor,Azul,Tamanho,P,GMC-COPA-BRAZ9-AZUL-P,300,shopify,10,deny,manual,299.90,449.90,TRUE,TRUE,https://gmclo.shop/products/copa/0c38c747-81ce-409f-844d-7dc26d5687e4.png,1,Camisa Brasil retro azul Ronaldo 9 frente,FALSE,active
camisa-brasil-retro-azul-ronaldo,Camisa Brasil Retro Azul Ronaldo 9,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Azul,Tamanho,M,GMC-COPA-BRAZ9-AZUL-M,300,shopify,10,deny,manual,299.90,449.90,TRUE,TRUE,https://gmclo.shop/products/copa/a3b817f6-eaa4-4d33-8ce6-776ecac7f633.png,2,Camisa Brasil retro azul Ronaldo 9 em look masculino,FALSE,active
