Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,"<p>Camisa Brasil manga longa com visual esportivo, cor marcante e presenca pronta para jogos, roles e composicoes streetwear.</p><ul><li>Camisa de futebol manga longa</li><li>Caimento esportivo</li><li>Tecido leve</li><li>Detalhes em verde</li><li>Produto da linha Copa do Mundo GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing,Football Jersey,"copa do mundo,copa 2026,futebol,brasil,gm clothing,moda masculina,streetwear esportivo",TRUE,Cor,Amarelo,Tamanho,P,GMC-COPA-BRML-AMARELO-P,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Amarelo,Tamanho,M,GMC-COPA-BRML-AMARELO-M,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Amarelo,Tamanho,G,GMC-COPA-BRML-AMARELO-G,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-brasil-manga-longa-copa,Camisa Brasil Manga Longa - Copa,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Amarelo,Tamanho,GG,GMC-COPA-BRML-AMARELO-GG,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,"<p>Camisa Espanha versao jogador com visual vermelho intenso, acabamento esportivo e leitura premium para a temporada da Copa.</p><ul><li>Versao jogador</li><li>Caimento esportivo</li><li>Tecido leve</li><li>Visual Espanha</li><li>Produto da linha Copa do Mundo GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing,Football Jersey,"copa do mundo,copa 2026,futebol,espanha,gm clothing,moda masculina,streetwear esportivo",TRUE,Cor,Vermelho,Tamanho,P,GMC-COPA-ESPJ-VERMELHO-P,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Vermelho,Tamanho,M,GMC-COPA-ESPJ-VERMELHO-M,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Vermelho,Tamanho,G,GMC-COPA-ESPJ-VERMELHO-G,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-espanha-versao-jogador,Camisa Espanha Versao Jogador,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Vermelho,Tamanho,GG,GMC-COPA-ESPJ-VERMELHO-GG,300,shopify,10,deny,manual,279.90,399.90,TRUE,TRUE,,,,FALSE,active
camisa-brasil-retro-azul-ronaldo,Camisa Brasil Retro Azul Ronaldo 9,"<p>Camisa Brasil retro azul Ronaldo 9 com visual classico, contraste branco e presenca de colecao para quem vive futebol.</p><ul><li>Linha Brasil Retro</li><li>Visual azul classico</li><li>Numero 9 nas costas</li><li>Caimento esportivo</li><li>Produto da linha Copa do Mundo GM Clothing</li></ul>",GM Clothing,Apparel & Accessories > Clothing,Football Jersey,"copa do mundo,copa 2026,futebol,brasil,ronaldo 9,gm clothing,moda masculina,streetwear esportivo",TRUE,Cor,Azul,Tamanho,P,GMC-COPA-BRAZ9-AZUL-P,300,shopify,10,deny,manual,299.90,449.90,TRUE,TRUE,,,,FALSE,active
camisa-brasil-retro-azul-ronaldo,Camisa Brasil Retro Azul Ronaldo 9,,GM Clothing,Apparel & Accessories > Clothing,Football Jersey,,TRUE,Cor,Azul,Tamanho,M,GMC-COPA-BRAZ9-AZUL-M,300,shopify,10,deny,manual,299.90,449.90,TRUE,TRUE,,,,FALSE,active
